edad;distancia;negocios;latitud;longitud;precio
6.4;90.45606;9;24.97;121.54;18.0
28.4;617.4424;3;24.98;121.53;10.5
16.4;289.3248;5;24.98;121.54;15.5
6.4;90.45606;9;24.97;121.54;18.8
17.5;964.7496;4;24.99;121.53;11.6
12.7;170.1289;1;24.97;121.53;10.0
1.1;193.5845;6;24.97;121.54;16.5
0;208.3905;6;24.96;121.54;13.8
32.7;392.4459;6;24.96;121.54;9.2
0;292.9978;6;24.98;121.54;21.5
17.2;189.5181;8;24.98;121.54;14.3
12.2;1360.139;1;24.95;121.55;8.1
31.4;592.5006;2;24.97;121.54;10.3
4;2147.376;3;24.96;121.51;8.6
8.1;104.8101;5;24.97;121.54;15.6
33.3;196.6172;7;24.98;121.54;11.9
9.9;2102.427;3;24.96;121.51;7.0
14.8;393.2606;6;24.96;121.54;2.3
30.6;143.8383;8;24.98;121.54;16.2
20.6;737.9161;2;24.98;121.55;14.1
30.9;6396.283;1;24.94;121.48;3.7
13.6;4197.349;0;24.94;121.5;3.9
25.3;1583.722;3;24.97;121.52;9.3
16.6;289.3248;5;24.98;121.54;18.1
13.3;492.2313;5;24.97;121.54;9.5
13.6;492.2313;5;24.97;121.54;14.5
31.5;414.9476;4;24.98;121.54;9.8
0;185.4296;0;24.97;121.53;13.8
9.9;279.1726;7;24.98;121.55;17.4
1.1;193.5845;6;24.97;121.54;14.7
38.6;804.6897;4;24.98;121.53;19.1
3.8;383.8624;5;24.98;121.54;16.7
41.3;124.9912;6;24.97;121.54;18.4
38.5;216.8329;7;24.98;121.54;12.4
29.6;535.527;8;24.98;121.54;11.4
4;2147.376;3;24.96;121.51;9.3
26.6;482.7581;5;24.97;121.54;11.4
18;373.3937;8;24.99;121.54;12.0
33.4;186.9686;6;24.97;121.54;12.8
18.9;1009.235;0;24.96;121.55;6.3
11.4;390.5684;5;24.98;121.54;14.2
13.6;319.0708;6;24.96;121.54;14.4
10;942.4664;0;24.98;121.52;13.2
12.9;492.2313;5;24.97;121.54;12.9
16.2;289.3248;5;24.98;121.54;15.6
5.1;1559.827;3;24.97;121.52;8.8
19.8;640.6071;5;24.97;121.55;11.4
13.6;492.2313;5;24.97;121.54;12.2
11.9;1360.139;1;24.95;121.55;8.6
2.1;451.2438;5;24.98;121.55;13.8
0;185.4296;0;24.97;121.53;15.8
3.2;489.8821;8;24.97;121.54;13.1
16.4;3780.59;0;24.93;121.51;13.7
34.9;179.4538;8;24.97;121.54;12.0
35.8;170.7311;7;24.97;121.54;14.7
4.9;387.7721;9;24.98;121.54;13.5
12;1360.139;1;24.95;121.55;8.8
6.5;376.1709;6;24.95;121.54;12.4
16.9;4066.587;0;24.94;121.5;6.3
13.8;4082.015;0;24.94;121.5;4.7
30.7;1264.73;0;24.95;121.53;5.5
16.1;815.9314;4;24.98;121.53;10.8
11.6;390.5684;5;24.98;121.54;11.9
15.5;815.9314;4;24.98;121.53;11.3
3.5;49.66105;8;24.96;121.54;17.5
19.2;616.4004;3;24.98;121.54;12.0
16;4066.587;0;24.94;121.5;3.5
8.5;104.8101;5;24.97;121.54;16.8
0;185.4296;0;24.97;121.53;16.7
13.7;1236.564;1;24.98;121.55;9.3
0;292.9978;6;24.98;121.54;22.3
28.2;330.0854;8;24.97;121.54;13.2
27.6;515.1122;5;24.96;121.54;11.3
8.4;1962.628;1;24.95;121.55;7.1
24;4527.687;0;24.95;121.5;4.4
3.6;383.8624;5;24.98;121.54;17.8
6.6;90.45606;9;24.97;121.54;17.6
41.3;401.8807;4;24.98;121.54;10.6
4.3;432.0385;7;24.98;121.54;13.7
30.2;472.1745;3;24.97;121.54;11.1
13.9;4573.779;0;24.95;121.5;5.8
33;181.0766;9;24.98;121.54;12.7
13.1;1144.436;4;24.99;121.53;11.1
14;438.8513;1;24.97;121.53;12.9
26.9;4449.27;0;24.95;121.5;4.7
11.6;201.8939;8;24.98;121.54;16.9
13.5;2147.376;3;24.96;121.51;7.2
17;4082.015;0;24.94;121.5;5.7
14.1;2615.465;0;24.95;121.56;6.6
31.4;1447.286;3;24.97;121.52;6.5
20.9;2185.128;3;24.96;121.51;7.8
8.9;3078.176;0;24.95;121.57;6.7
34.8;190.0392;8;24.98;121.54;13.4
16.3;4066.587;0;24.94;121.5;6.2
35.3;616.5735;8;24.98;121.54;12.8
13.2;750.0704;2;24.97;121.55;11.5
43.8;57.58945;7;24.97;121.54;12.9
9.7;421.479;5;24.98;121.54;14.9
15.2;3771.895;0;24.93;121.51;8.9
15.2;461.1016;5;24.95;121.54;10.5
22.8;707.9067;2;24.98;121.55;11.1
34.4;126.7286;8;24.97;121.54;14.6
34;157.6052;7;24.97;121.54;11.8
18.2;451.6419;8;24.97;121.54;9.6
17.4;995.7554;0;24.96;121.55;7.7
13.1;561.9845;5;24.99;121.54;13.9
38.3;642.6985;3;24.98;121.54;9.5
15.6;289.3248;5;24.98;121.54;14.0
18;1414.837;1;24.95;121.55;8.1
12.8;1449.722;3;24.97;121.52;6.5
22.2;379.5575;10;24.98;121.54;13.3
38.5;665.0636;3;24.98;121.54;10.4
11.5;1360.139;1;24.95;121.55;7.9
34.8;175.6294;8;24.97;121.54;12.4
5.2;390.5684;5;24.98;121.54;15.8
0;274.0144;1;24.97;121.53;13.2
17.6;1805.665;2;24.99;121.52;9.4
6.2;90.45606;9;24.97;121.54;17.6
18.1;1783.18;3;24.97;121.51;6.3
19.2;383.7129;8;24.97;121.54;14.6
37.8;590.9292;1;24.97;121.54;12.0
28;372.6242;6;24.98;121.54;12.4
13.6;492.2313;5;24.97;121.54;13.3
29.3;529.7771;8;24.98;121.54;12.2
37.2;186.5101;9;24.98;121.54;23.7
9;1402.016;0;24.99;121.53;11.7
30.6;431.1114;10;24.98;121.54;14.7
9.1;1402.016;0;24.99;121.53;12.8
34.5;324.9419;6;24.98;121.54;13.9
1.1;193.5845;6;24.97;121.54;14.8
16.5;4082.015;0;24.94;121.5;3.9
32.4;265.0609;8;24.98;121.54;12.2
11.9;3171.329;0;25;121.52;14.1
31;1156.412;0;24.95;121.53;5.8
4;2147.376;3;24.96;121.51;10.1
16.2;4074.736;0;24.94;121.5;4.5
27.1;4412.765;1;24.95;121.5;5.3
39.7;333.3679;9;24.98;121.54;9.8
8;2216.612;4;24.96;121.51;7.2
12.9;250.631;7;24.97;121.54;11.9
3.6;373.8389;10;24.98;121.54;18.8
13;732.8528;0;24.98;121.53;11.8
12.8;732.8528;0;24.98;121.53;12.3
18.1;837.7233;0;24.96;121.55;9.0
11;1712.632;2;24.96;121.52;8.7
13.7;250.631;7;24.97;121.54;12.5
2;2077.39;3;24.96;121.51;10.1
32.8;204.1705;8;24.98;121.54;14.6
4.8;1559.827;3;24.97;121.52;6.6
7.5;639.6198;5;24.97;121.55;12.4
16.4;389.8219;6;24.96;121.54;12.3
21.7;1055.067;0;24.96;121.55;7.0
19;1009.235;0;24.96;121.55;6.8
18;6306.153;1;24.96;121.48;4.5
39.2;424.7132;7;24.97;121.54;9.1
31.7;1159.454;0;24.95;121.53;4.2
5.9;90.45606;9;24.97;121.54;16.0
30.4;1735.595;2;24.96;121.52;7.8
1.1;329.9747;5;24.98;121.54;15.7
31.5;5512.038;1;24.95;121.48;5.3
14.6;339.2289;1;24.98;121.53;8.0
17.3;444.1334;1;24.98;121.53;13.3
0;292.9978;6;24.98;121.54;19.2
17.7;837.7233;0;24.96;121.55;8.7
17;1485.097;4;24.97;121.52;9.3
16.2;2288.011;3;24.96;121.51;7.4
15.9;289.3248;5;24.98;121.54;16.1
3.9;2147.376;3;24.96;121.51;9.6
32.6;493.657;7;24.97;121.55;12.3
15.7;815.9314;4;24.98;121.53;11.5
17.8;1783.18;3;24.97;121.51;7.2
34.7;482.7581;5;24.97;121.54;12.5
17.2;390.5684;5;24.98;121.54;12.2
17.6;837.7233;0;24.96;121.55;7.0
10.8;252.5822;1;24.97;121.53;35.6
17.7;451.6419;8;24.97;121.54;8.0
13;492.2313;5;24.97;121.54;12.3
13.2;170.1289;1;24.97;121.53;8.9
27.5;394.0173;7;24.97;121.54;12.4
1.5;23.38284;7;24.97;121.54;15.1
19.1;461.1016;5;24.95;121.54;10.3
21.2;2185.128;3;24.96;121.51;8.4
0;208.3905;6;24.96;121.54;13.3
2.6;1554.25;3;24.97;121.52;9.4
2.3;184.3302;6;24.97;121.54;13.8
4.7;387.7721;9;24.98;121.54;13.6
2;1455.798;1;24.95;121.55;7.8
33.5;1978.671;2;24.99;121.52;7.1
15;383.2805;7;24.97;121.54;10.4
30.1;718.2937;3;24.98;121.54;16.8
5.9;90.45606;9;24.97;121.54;17.1
19.2;461.1016;5;24.95;121.54;10.0
16.6;323.6912;6;24.98;121.54;15.5
13.9;289.3248;5;24.98;121.54;13.5
37.7;490.3446;0;24.97;121.53;11.2
3.4;56.47425;7;24.96;121.54;16.5
17.5;395.6747;5;24.96;121.53;7.4
12.6;383.2805;7;24.97;121.54;12.9
26.4;335.5273;6;24.98;121.54;11.5
18.2;2179.59;3;24.96;121.51;6.6
12.5;1144.436;4;24.99;121.53;10.3
34.9;567.0349;4;24.97;121.55;8.6
16.7;4082.015;0;24.94;121.5;5.1
33.2;121.7262;10;24.98;121.54;14.0
2.5;156.2442;4;24.97;121.54;11.2
38;461.7848;0;24.97;121.53;10.8
16.5;2288.011;3;24.96;121.51;7.0
38.3;439.7105;0;24.97;121.53;11.6
20;1626.083;3;24.97;121.52;8.9
16.2;289.3248;5;24.98;121.54;16.7
14.4;169.9803;1;24.97;121.53;15.2
10.3;3079.89;0;24.95;121.57;7.5
16.4;289.3248;5;24.98;121.54;16.1
30.3;1264.73;0;24.95;121.53;5.8
16.4;1643.499;2;24.95;121.55;7.5
21.3;537.7971;4;24.97;121.54;12.8
35.4;318.5292;9;24.97;121.54;23.6
8.3;104.8101;5;24.97;121.54;13.0
3.7;577.9615;6;24.97;121.55;12.6
15.6;1756.411;2;24.98;121.52;8.3
13.3;250.631;7;24.97;121.54;12.7
15.6;752.7669;2;24.98;121.53;11.4
7.1;379.5575;10;24.98;121.54;15.1
34.6;272.6783;5;24.96;121.54;8.2
13.5;4197.349;0;24.94;121.5;5.6
16.9;964.7496;4;24.99;121.53;11.4
12.9;187.4823;1;24.97;121.53;10.0
28.6;197.1338;6;24.98;121.54;12.9
12.4;1712.632;2;24.96;121.52;9.5
36.6;488.8193;8;24.97;121.54;11.5
4.1;56.47425;7;24.96;121.54;18.8
3.5;757.3377;3;24.98;121.55;11.1
15.9;1497.713;3;24.97;121.52;7.2
13.6;4197.349;0;24.94;121.5;5.8
32;1156.777;0;24.95;121.53;3.9
25.6;4519.69;0;24.95;121.5;4.7
39.8;617.7134;2;24.98;121.53;12.0
7.8;104.8101;5;24.97;121.54;11.6
30;1013.341;5;24.99;121.53;6.9
27.3;337.6016;6;24.96;121.54;11.1
5.1;1867.233;2;24.98;121.52;10.8
31.3;600.8604;5;24.97;121.55;9.4
31.5;258.186;9;24.97;121.54;11.0
1.7;329.9747;5;24.98;121.54;15.3
33.6;270.8895;0;24.97;121.53;13.0
13;750.0704;2;24.97;121.55;11.2
5.7;90.45606;9;24.97;121.54;16.2
33.5;563.2854;8;24.98;121.54;14.1
34.6;3085.17;0;25;121.52;12.5
0;185.4296;0;24.97;121.53;11.5
13.2;1712.632;2;24.96;121.52;9.3
17.4;6488.021;1;24.96;121.47;3.4
4.6;259.6607;6;24.98;121.55;16.3
7.8;104.8101;5;24.97;121.54;14.2
13.2;492.2313;5;24.97;121.54;12.8
4;2180.245;3;24.96;121.51;8.7
18.4;2674.961;3;24.96;121.51;7.8
4.1;2147.376;3;24.96;121.51;9.5
12.2;1360.139;1;24.95;121.55;9.1
3.8;383.8624;5;24.98;121.54;18.4
10.3;211.4473;1;24.97;121.53;13.7
0;338.9679;9;24.97;121.54;13.6
1.1;193.5845;6;24.97;121.54;13.7
5.6;2408.993;0;24.96;121.56;7.5
32.9;87.30222;10;24.98;121.54;14.3
41.4;281.205;8;24.97;121.54;19.2
17.1;967.4;4;24.99;121.53;12.1
32.3;109.9455;10;24.98;121.54;14.5
35.3;614.1394;7;24.98;121.54;10.0
17.3;2261.432;4;24.96;121.51;8.9
14.2;1801.544;1;24.95;121.55;7.5
15;1828.319;2;24.96;121.52;6.3
18.2;350.8515;1;24.98;121.53;13.1
20.2;2185.128;3;24.96;121.51;6.9
15.9;289.3248;5;24.98;121.54;12.8
4.1;312.8963;5;24.96;121.54;15.7
33.9;157.6052;7;24.97;121.54;12.6
0;274.0144;1;24.97;121.53;15.8
5.4;390.5684;5;24.98;121.54;15.0
21.7;1157.988;0;24.96;121.55;7.2
14.7;1717.193;2;24.96;121.52;9.2
3.9;49.66105;8;24.96;121.54;17.2
37.3;587.8877;8;24.97;121.55;11.3
0;292.9978;6;24.98;121.54;21.1
14.1;289.3248;5;24.98;121.54;16.2
8;132.5469;9;24.98;121.54;14.3
16.3;3529.564;0;24.93;121.52;8.9
29.1;506.1144;4;24.98;121.54;12.2
16.1;4066.587;0;24.94;121.5;3.9
18.3;82.88643;10;24.98;121.54;14.1
0;185.4296;0;24.97;121.53;16.8
16.2;2103.555;3;24.96;121.51;7.8
10.4;2251.938;4;24.96;121.51;8.3
40.9;122.3619;8;24.97;121.54;20.5
32.8;377.8302;9;24.97;121.54;11.7
6.2;1939.749;1;24.95;121.55;9.5
42.7;443.802;6;24.98;121.54;10.7
16.9;967.4;4;24.99;121.53;12.2
32.6;4136.271;1;24.96;121.5;7.5
21.2;512.5487;4;24.97;121.54;12.9
37.1;918.6357;1;24.97;121.55;9.7
13.1;1164.838;4;24.99;121.53;9.8
14.7;1717.193;2;24.96;121.52;7.0
12.7;170.1289;1;24.97;121.53;11.3
26.8;482.7581;5;24.97;121.54;10.8
7.6;2175.03;3;24.96;121.51;8.4
12.7;187.4823;1;24.97;121.53;8.6
30.9;161.942;9;24.98;121.54;12.0
16.4;289.3248;5;24.98;121.54;12.5
23;130.9945;6;24.96;121.54;11.3
1.9;372.1386;7;24.97;121.54;12.3
5.2;2408.993;0;24.96;121.56;6.8
18.5;2175.744;3;24.96;121.51;8.5
13.7;4082.015;0;24.94;121.5;4.7
5.6;90.45606;9;24.97;121.54;15.2
18.8;390.9696;7;24.98;121.54;12.3
8.1;104.8101;5;24.97;121.54;15.9
6.5;90.45606;9;24.97;121.54;19.4
